Reference,Qty,Description,Part Number,Manufacturer,Digikey
J1,1,CONN PLUG USB2.0 TYPEA 4P SMD RA,1-1734028-1,TE Connectivity AMP Connectors,A122942CT-ND
J2,1,CONN HEADER SMD R/A 5POS 1MM,SM05B-SRSS-TB(LF)(SN),JST Sales America Inc.,455-1805-1-ND

J1	1	CONN RCPT USB1.1 TYPEA 4POS R/A	AU-Y1005	Assmann WSW Components	AE11181-ND
J2	1	CONN HEADER SMD R/A 5POS 1MM	SM05B-SRSS-TB(LF)(SN)	JST Sales America Inc.	455-1805-1-ND
S1	1	TL3305AF160QG	TL3315NF160Q	E-Switch	EG5350CT-ND

